     -3761.2824,	       7595.6382,	      -1436.5178 ; 		 //plane 0 point @1 
      3338.9859,	       7575.2702,	      -1420.6552 ; 		 //plane 0 point @2 
      3329.2386,	      -4976.7776,	      -1433.0301 ; 		 //plane 0 point @3 
     -3727.1795,	      -4988.7383,	      -1448.8264 ; 		 //plane 0 point @4 
     -3761.2824,	       7595.6382,	      -1436.5178 ; 		 //plane 0 point @5 
     -3761.3107,	       7606.0972,	       7625.5532 ; 		 //plane 1 point @6 
      1194.0348,	       7591.8746,	       7630.1650 ; 		 //plane 1 point @7 
      1222.5242,	      -4980.3485,	       7641.0784 ; 		 //plane 1 point @8 
     -3727.1795,	      -4988.7383,	       7636.4913 ; 		 //plane 1 point @9 
     -3761.3107,	       7606.0972,	       7625.5532 ; 		 //plane 1 point @10 
      3338.9859,	       7575.2702,	      -1420.6552 ; 		 //plane 2 point @11 
     -3761.2824,	       7595.6382,	      -1436.5178 ; 		 //plane 2 point @12 
     -3761.3107,	       7606.0972,	       7625.5532 ; 		 //plane 2 point @13 
      1194.0348,	       7591.8746,	       7630.1650 ; 		 //plane 2 point @14 
      1202.4438,	       7590.1813,	       6183.8624 ; 		 //plane 2 point @15 
      3292.6470,	       7584.1446,	       6153.3404 ; 		 //plane 2 point @16 
      3506.8678,	       7582.5420,	       5297.6579 ; 		 //plane 2 point @17 
      3533.9191,	       7575.6245,	       -628.6736 ; 		 //plane 2 point @18 
      3338.9859,	       7575.2702,	      -1420.6552 ; 		 //plane 2 point @19 
     -3761.2824,	       7595.6382,	      -1436.5178 ; 		 //plane 3 point @20 
     -3727.1795,	      -4988.7383,	      -1448.8264 ; 		 //plane 3 point @21 
     -3727.1795,	      -4988.7383,	       7636.4913 ; 		 //plane 3 point @22 
     -3761.3107,	       7606.0972,	       7625.5532 ; 		 //plane 3 point @23 
     -3761.2824,	       7595.6382,	      -1436.5178 ; 		 //plane 3 point @24 
      3329.2386,	      -4976.7776,	      -1433.0301 ; 		 //plane 4 point @25 
     -3727.1795,	      -4988.7383,	      -1448.8264 ; 		 //plane 4 point @26 
     -3727.1795,	      -4988.7383,	       7636.4913 ; 		 //plane 4 point @27 
      1222.5242,	      -4980.3485,	       7641.0784 ; 		 //plane 4 point @28 
      1230.8081,	      -4980.3345,	       6215.6285 ; 		 //plane 4 point @29 
      3296.4527,	      -4976.8332,	       6185.4408 ; 		 //plane 4 point @30 
      3504.0922,	      -4976.4812,	       5356.0394 ; 		 //plane 4 point @31 
      3531.3350,	      -4976.4350,	       -611.9455 ; 		 //plane 4 point @32 
      3329.2386,	      -4976.7776,	      -1433.0301 ; 		 //plane 4 point @33 
      3338.9859,	       7575.2702,	      -1420.6552 ; 		 //plane 5 point @34 
      3329.2386,	      -4976.7776,	      -1433.0301 ; 		 //plane 5 point @35 
      3531.3350,	      -4976.4350,	       -611.9455 ; 		 //plane 5 point @36 
      3533.9191,	       7575.6245,	       -628.6736 ; 		 //plane 5 point @37 
      3338.9859,	       7575.2702,	      -1420.6552 ; 		 //plane 5 point @38 
      3533.9191,	       7575.6245,	       -628.6736 ; 		 //plane 6 point @39 
      3531.3350,	      -4976.4350,	       -611.9455 ; 		 //plane 6 point @40 
      3504.0922,	      -4976.4812,	       5356.0394 ; 		 //plane 6 point @41 
      3506.8678,	       7582.5420,	       5297.6579 ; 		 //plane 6 point @42 
      3533.9191,	       7575.6245,	       -628.6736 ; 		 //plane 6 point @43 
      3506.8678,	       7582.5420,	       5297.6579 ; 		 //plane 7 point @44 
      3504.0922,	      -4976.4812,	       5356.0394 ; 		 //plane 7 point @45 
      3296.4527,	      -4976.8332,	       6185.4408 ; 		 //plane 7 point @46 
      3292.6470,	       7584.1446,	       6153.3404 ; 		 //plane 7 point @47 
      3506.8678,	       7582.5420,	       5297.6579 ; 		 //plane 7 point @48 
      3292.6470,	       7584.1446,	       6153.3404 ; 		 //plane 8 point @49 
      3296.4527,	      -4976.8332,	       6185.4408 ; 		 //plane 8 point @50 
      1230.8081,	      -4980.3345,	       6215.6285 ; 		 //plane 8 point @51 
      1202.4438,	       7590.1813,	       6183.8624 ; 		 //plane 8 point @52 
      3292.6470,	       7584.1446,	       6153.3404 ; 		 //plane 8 point @53 
      1202.4438,	       7590.1813,	       6183.8624 ; 		 //plane 9 point @54 
      1230.8081,	      -4980.3345,	       6215.6285 ; 		 //plane 9 point @55 
      1222.5242,	      -4980.3485,	       7641.0784 ; 		 //plane 9 point @56 
      1194.0348,	       7591.8746,	       7630.1650 ; 		 //plane 9 point @57 
      1202.4438,	       7590.1813,	       6183.8624 ; 		 //plane 9 point @58 
