     -3919.4838,	      -4476.0871,	       -666.4154 ; 		 //plane 12 point @75 
     -3731.4763,	      -2485.0228,	       -399.1825 ; 		 //plane 12 point @76 
     -4770.0029,	      -2731.6717,	       3546.5606 ; 		 //plane 12 point @77 
     -4929.2724,	      -4497.2033,	       3280.4318 ; 		 //plane 12 point @78 
     -3919.4838,	      -4476.0871,	       -666.4154 ; 		 //plane 12 point @79 
     -4929.2724,	      -4497.2033,	       3280.4318 ; 		 //plane 13 point @80 
     -4770.9336,	      -2741.9885,	       3545.0055 ; 		 //plane 13 point @81 
     -4717.7627,	      -2556.9405,	       5264.6696 ; 		 //plane 13 point @82 
     -4883.6798,	      -4496.2499,	       5391.0959 ; 		 //plane 13 point @83 
     -4929.2724,	      -4497.2033,	       3280.4318 ; 		 //plane 13 point @84 
     -4883.6798,	      -4496.2499,	       5391.0959 ; 		 //plane 14 point @85 
     -4720.1707,	      -2585.0862,	       5266.5044 ; 		 //plane 14 point @86 
     -4486.5308,	      -2571.2346,	       6151.1568 ; 		 //plane 14 point @87 
     -4685.5234,	      -4492.1062,	       6144.3681 ; 		 //plane 14 point @88 
     -4883.6798,	      -4496.2499,	       5391.0959 ; 		 //plane 14 point @89 
     -2975.5556,	       1436.7402,	       6177.3275 ; 		 //plane 15 point @90 
     -2820.5825,	      -4453.1074,	       6164.8950 ; 		 //plane 15 point @91 
     -2814.9010,	      -4452.9886,	       7606.5995 ; 		 //plane 15 point @92 
     -2969.9558,	       1439.0339,	       7612.8505 ; 		 //plane 15 point @93 
     -2975.5556,	       1436.7402,	       6177.3275 ; 		 //plane 15 point @94 
