  -3510.7131000000,	   -4806.8491000000,	    6776.0361000000 ; 		 //plane 11 point @70 
  -3436.4488000000,	    5377.5886000000,	    6793.0959000000 ; 		 //plane 11 point @71 
  -3448.8809000000,	    5414.0568000000,	    4687.7224000000 ; 		 //plane 11 point @72 
  -3338.7631000000,	   -4808.5512000000,	       6.7693000000 ; 		 //plane 12 point @73 
  -3314.1390000000,	   -1517.2510000000,	       5.7290000000 ; 		 //plane 12 point @74 
  -3522.8012000000,	   -1527.8048000000,	     812.6791000000 ; 		 //plane 12 point @75 
  -3546.6849000000,	   -4806.4930000000,	     811.2163000000 ; 		 //plane 12 point @76 
  -3338.7631000000,	   -4808.5512000000,	       6.7693000000 ; 		 //plane 12 point @77 
  -1121.8912000000,	    7025.5924000000,	    9071.2510000000 ; 		 //plane 13 point @78 
  -1127.2981000000,	    7024.4645000000,	    7667.6564000000 ; 		 //plane 13 point @79 
  -1223.5738000000,	   -4829.4894000000,	    7645.6141000000 ; 		 //plane 13 point @80 
  -1218.1009000000,	   -4829.5436000000,	    9068.8531000000 ; 		 //plane 13 point @81 
  -1121.8912000000,	    7025.5924000000,	    9071.2510000000 ; 		 //plane 13 point @82 
