Point Id,,,,,,Easting,Northing,Elevation
DEFAULT20,,,,,,,,
1,,,,,,0,5.3702,1.5242
2,,,,,,-1.1426,-0.7329,-0.0103
3,,,,,,-1.1206,-0.6854,-0.0062
4,,,,,,-1.2213,-0.6402,-0.0066
5,,,,,,-1.2767,-0.6174,9.054
6,,,,,,-1.3569,-0.4975,9.054
7,,,,,,-1.2477,-0.4855,9.0533
8,,,,,,-3.0421,5.9961,0.4588
9,,,,,,-3.0432,5.998,2.8039
10,,,,,,-3.045,6.0014,4.9895
11,,,,,,-3.0454,6.0022,6.9625
12,,,,,,-3.053,6.017,8.8541
13,,,,,,-2.9183,6.0171,8.7892
14,,,,,,-2.9131,6.0063,7.152
15,,,,,,-2.9125,6.0055,5.2127
16,,,,,,-2.8309,6.0034,2.6462
17,,,,,,-2.4994,6.0154,1.1878
18,,,,,,-1.0445,6.0543,0.2101
19,,,,,,-0.9874,6.0604,3.646
20,,,,,,-0.9307,5.712,6.2115
21,,,,,,-0.9747,5.9829,7.9709
22,,,,,,-0.9875,6.0633,8.8739
23,,,,,,-0.6611,6.0997,8.7934
24,,,,,,-0.6711,6.1922,6.5973
25,,,,,,-0.6689,6.1731,4.5519
26,,,,,,-0.6639,6.1304,2.166
27,,,,,,-0.6569,6.0631,0.2862
28,,,,,,0.7376,6.0992,0.249
29,,,,,,0.734,6.0686,2.6439
30,,,,,,0.7385,6.1075,4.7359
31,,,,,,0.7358,6.0861,7.0041
32,,,,,,0.7443,6.1204,8.9064
33,,,,,,0.8277,6.1199,8.9144
34,,,,,,1.2248,6.1212,6.6766
35,,,,,,1.2291,6.1416,4.113
36,,,,,,1.228,6.1305,1.0886
37,,,,,,1.2348,6.0976,0.3156
38,,,,,,2.7674,6.2068,0.5967
39,,,,,,2.736,6.1365,1.9541
40,,,,,,2.7342,6.1332,3.937
41,,,,,,2.7384,6.1429,5.6716
42,,,,,,2.7482,6.1642,7.4822
43,,,,,,2.9744,6.172,7.5417
44,,,,,,3.1243,6.1666,6.2171
45,,,,,,3.1425,6.2033,4.4783
46,,,,,,3.1193,6.1578,2.2047
47,,,,,,3.0871,6.1582,0.3529
48,,,,,,-3.8883,5.2582,0.6161
49,,,,,,-3.8904,5.2609,2.9393
50,,,,,,-3.6445,4.9283,5.7448
51,,,,,,-3.751,5.0723,7.7189
52,,,,,,-3.9121,5.2905,8.9074
53,,,,,,-3.4875,5.3275,8.8457
54,,,,,,-3.4685,5.298,6.864
55,,,,,,-3.586,5.4772,4.1407
56,,,,,,-3.4547,5.2789,2.3398
57,,,,,,-3.4526,5.2742,0.5988
58,,,,,,-2.0695,5.3136,0.66
59,,,,,,-1.9713,5.319,3.4446
60,,,,,,-1.9341,5.219,5.8381
61,,,,,,-1.9703,5.316,7.4358
62,,,,,,-1.9735,5.3259,8.8787
63,,,,,,-1.5406,5.4128,8.7495
64,,,,,,-1.5245,5.3555,6.4666
65,,,,,,-1.5116,5.338,4.4827
66,,,,,,-1.51,5.3334,2.6487
67,,,,,,-1.4825,5.3324,0.7316
68,,,,,,-0.2323,5.3623,0.2106
69,,,,,,-0.2325,5.3664,2.5921
70,,,,,,-0.2317,5.3461,5.2617
71,,,,,,-0.2314,5.3414,7.4508
72,,,,,,-0.2326,5.367,8.928
73,,,,,,0.3342,5.4294,8.952
74,,,,,,0.3317,5.3867,6.7077
75,,,,,,0.3315,5.3874,4.5755
76,,,,,,0.3314,5.3814,2.5251
77,,,,,,0.3315,5.3802,0.319
78,,,,,,1.7155,5.4007,0.2572
79,,,,,,1.7174,5.4072,2.1034
80,,,,,,1.7186,5.4114,4.1523
81,,,,,,1.7202,5.4163,5.8334
82,,,,,,1.7224,5.4235,7.1095
83,,,,,,2.2053,5.4338,7.2031
84,,,,,,2.203,5.4279,5.8283
85,,,,,,2.2024,5.4264,3.8132
86,,,,,,2.2023,5.4257,1.8667
87,,,,,,2.2012,5.4228,0.2715
88,,,,,,3.072,6.0495,0.0929
89,,,,,,3.2391,5.9603,0.7457
90,,,,,,3.1805,3.4413,0.1266
91,,,,,,3.3202,3.4633,0.7409
92,,,,,,3.4054,0.0296,0.7217
93,,,,,,3.2637,0.0285,0.1452
94,,,,,,3.4946,-2.9579,0.7515
95,,,,,,3.3406,-3.1513,0.1104
96,,,,,,3.5781,-5.9187,0.7557
97,,,,,,3.4123,-6.2927,0.066
98,,,,,,3.5985,-6.1022,0.9893
99,,,,,,3.5801,-6.0709,2.4187
100,,,,,,3.5754,-6.0627,4.0708
101,,,,,,3.5768,-6.0652,5.0007
102,,,,,,3.5808,-6.0708,6.5876
103,,,,,,3.5076,-3.9808,6.6029
104,,,,,,3.5173,-3.8573,4.8962
105,,,,,,3.5256,-3.8677,3.5442
106,,,,,,3.532,-3.8748,2.2746
107,,,,,,3.5356,-3.8788,1.0028
108,,,,,,3.4479,-0.6493,0.9547
109,,,,,,3.4454,-0.6487,2.2421
110,,,,,,3.4412,-0.648,3.7126
111,,,,,,3.4286,-0.6455,5.0527
112,,,,,,3.4112,-0.6423,6.5697
113,,,,,,3.3133,2.7522,6.5845
114,,,,,,3.3288,2.7649,4.847
115,,,,,,3.3331,2.7685,3.5686
116,,,,,,3.344,2.7775,2.2165
117,,,,,,3.3506,2.7829,0.9084
118,,,,,,3.2548,5.925,0.9014
119,,,,,,3.2512,5.918,2.4105
120,,,,,,3.2457,5.9081,3.8716
121,,,,,,3.2416,5.9008,4.9814
122,,,,,,3.2331,5.8853,6.5863
123,,,,,,3.2042,6.0557,6.8234
124,,,,,,3.0241,6.0992,7.5372
125,,,,,,3.2867,2.821,6.8182
126,,,,,,3.1373,2.9747,7.4341
127,,,,,,3.3258,0.4035,6.9876
128,,,,,,3.2014,0.3884,7.4891
129,,,,,,3.4631,-2.7793,6.8099
130,,,,,,3.2972,-2.6462,7.4985
131,,,,,,3.572,-6.301,6.8195
132,,,,,,3.3881,-6.3129,7.5291
133,,,,,,1.2913,-6.2115,7.1881
134,,,,,,1.2941,-6.2244,8.8812
135,,,,,,1.2211,-3.8301,7.9227
136,,,,,,1.2177,-3.8193,8.7655
137,,,,,,1.1228,-0.6822,7.8066
138,,,,,,1.1204,-0.6808,8.7417
139,,,,,,1.0358,2.2781,7.8892
140,,,,,,1.0251,2.2548,8.8455
141,,,,,,0.9265,5.8666,7.7072
142,,,,,,0.9228,5.8436,8.6819
143,,,,,,3.3336,-6.4009,0.1293
144,,,,,,3.5192,-6.3979,1.633
145,,,,,,3.5208,-6.4004,3.3381
146,,,,,,3.5227,-6.4035,4.9895
147,,,,,,3.3088,-6.4027,7.5162
148,,,,,,2.9261,-6.4073,7.5404
149,,,,,,2.9284,-6.4121,5.6851
150,,,,,,2.9266,-6.4084,3.6109
151,,,,,,2.9244,-6.4039,2.1248
152,,,,,,2.922,-6.3989,0.1446
153,,,,,,1.647,-6.442,0.221
154,,,,,,1.6469,-6.4417,2.047
155,,,,,,1.6138,-6.445,3.6551
156,,,,,,1.6133,-6.4432,6.3229
157,,,,,,1.2647,-6.4465,9.0143
158,,,,,,1.0191,-6.4578,8.9766
159,,,,,,1.0201,-6.4637,6.0734
160,,,,,,1.0206,-6.4664,3.5296
161,,,,,,1.0207,-6.467,1.7004
162,,,,,,1.0191,-6.4586,0.1315
163,,,,,,-0.2357,-6.501,0.1386
164,,,,,,-0.2357,-6.4993,2.5788
165,,,,,,-0.243,-6.4988,4.9213
166,,,,,,-0.3001,-6.5071,6.864
167,,,,,,-0.2863,-6.5094,8.7342
168,,,,,,-0.858,-6.5113,8.7916
169,,,,,,-0.8596,-6.5234,6.3773
170,,,,,,-0.8595,-6.5222,4.1355
171,,,,,,-0.8594,-6.5209,2.5198
172,,,,,,-0.8595,-6.5206,1.0648
173,,,,,,-2.1632,-6.5586,0.1227
174,,,,,,-2.1648,-6.5638,2.4559
175,,,,,,-2.1669,-6.5705,4.8586
176,,,,,,-2.1649,-6.5646,6.8637
177,,,,,,-2.1697,-6.5449,8.8435
178,,,,,,-2.7421,-6.5688,8.9645
179,,,,,,-2.7492,-6.5857,6.518
180,,,,,,-2.7487,-6.5838,4.2906
181,,,,,,-2.7472,-6.5805,2.4049
182,,,,,,-2.7445,-6.5738,0.3135
183,,,,,,2.5196,-7.1263,0.0713
184,,,,,,2.52,-7.1267,1.6626
185,,,,,,2.5208,-7.1286,3.4948
186,,,,,,2.5964,-7.1291,5.3722
187,,,,,,2.5963,-7.1291,7.5464
188,,,,,,2.1259,-7.1434,7.4619
189,,,,,,2.1253,-7.141,5.2206
190,,,,,,2.1551,-7.1382,3.9963
191,,,,,,2.09,-7.1411,2.1524
192,,,,,,2.0906,-7.1434,0.1216
193,,,,,,0.6684,-7.1792,0.1635
194,,,,,,0.6673,-7.1665,2.7081
195,,,,,,0.6694,-7.1887,4.8101
196,,,,,,0.6691,-7.187,6.852
197,,,,,,0.6692,-7.1854,8.8282
198,,,,,,0.1658,-7.2088,8.8202
199,,,,,,0.1656,-7.2033,6.4687
200,,,,,,0.1656,-7.2004,3.5787
201,,,,,,0.1658,-7.2014,1.7462
202,,,,,,0.1655,-7.203,0.3049
203,,,,,,-1.1784,-7.2465,0.091
204,,,,,,-1.1787,-7.2488,3.1614
205,,,,,,-1.1923,-7.2492,5.737
206,,,,,,-1.19,-7.2361,7.7395
207,,,,,,-1.2127,-7.2295,9.0066
208,,,,,,-1.7723,-7.244,8.9077
209,,,,,,-1.7781,-7.268,6.2698
210,,,,,,-1.7522,-7.2633,4.2843
211,,,,,,-1.7512,-7.2601,2.3192
212,,,,,,-1.7506,-7.2566,0.3311
213,,,,,,-3.1914,-7.3046,0.0786
214,,,,,,-3.1928,-7.3078,2.1021
215,,,,,,-3.1626,-7.2388,4.8355
216,,,,,,-3.1519,-7.2142,6.6614
217,,,,,,-3.1864,-7.2938,8.8738
218,,,,,,-3.5365,-7.2944,9.005
219,,,,,,-3.5491,-7.3208,6.4685
220,,,,,,-3.5475,-7.3174,3.8908
221,,,,,,-3.5452,-7.3123,1.7898
222,,,,,,-3.4759,-7.3133,0.1492
223,,,,,,-3.6427,-7.0884,0.4832
224,,,,,,-3.6413,-7.1683,2.7797
225,,,,,,-3.6419,-7.1697,5.0221
226,,,,,,-3.6429,-7.1724,6.6557
227,,,,,,-3.64,-7.1655,8.8086
228,,,,,,-3.6602,-6.7113,8.9227
229,,,,,,-3.6725,-6.7332,6.3433
230,,,,,,-3.6558,-6.7017,4.068
231,,,,,,-3.6516,-6.6937,1.9652
232,,,,,,-3.6533,-6.6981,0.5324
233,,,,,,-4.0775,-4.5768,0.0595
234,,,,,,-4.0761,-4.5752,2.2094
235,,,,,,-4.0733,-4.5722,5.3457
236,,,,,,-4.0284,-4.5221,7.2145
237,,,,,,-4.0796,-4.5645,8.8829
238,,,,,,-4.0816,-4.4387,8.9073
239,,,,,,-4.0736,-4.4524,6.8626
240,,,,,,-4.0748,-4.4535,4.9614
241,,,,,,-4.0787,-4.4578,2.7695
242,,,,,,-4.0784,-4.47,0.2065
243,,,,,,-4.1282,-2.6764,0.1075
244,,,,,,-4.1256,-2.6748,2.4517
245,,,,,,-4.1247,-2.6744,4.8246
246,,,,,,-4.128,-2.6766,6.2283
247,,,,,,-4.1342,-2.6807,8.9768
248,,,,,,-4.1398,-2.2978,8.9811
249,,,,,,-4.1283,-2.4403,6.0901
250,,,,,,-4.1264,-2.4821,3.263
251,,,,,,-4.1399,-2.2032,1.6042
252,,,,,,-4.1421,-2.2044,0.1238
253,,,,,,-4.1867,-0.7565,0.12
254,,,,,,-4.1827,-0.7559,2.5459
255,,,,,,-4.1562,-0.7512,4.583
256,,,,,,-4.1842,-0.7563,6.7303
257,,,,,,-4.1922,-0.7579,8.9051
258,,,,,,-4.2071,-0.2035,8.9077
259,,,,,,-4.2407,-0.2051,6.3584
260,,,,,,-4.2053,-0.2032,3.6328
261,,,,,,-4.2045,-0.2032,1.7253
262,,,,,,-4.2095,-0.2033,0.1787
263,,,,,,-4.2398,1.1648,0.1209
264,,,,,,-4.2394,1.1645,2.4311
265,,,,,,-4.2312,1.1623,4.7598
266,,,,,,-4.2467,1.1664,6.9595
267,,,,,,-4.2591,1.1698,8.874
268,,,,,,-4.2652,1.6626,8.9472
269,,,,,,-4.2775,1.6677,6.4984
270,,,,,,-4.2613,1.6616,4.2884
271,,,,,,-4.2605,1.6612,1.8685
272,,,,,,-4.2607,1.6612,0.1761
273,,,,,,-4.3009,3.3701,0.1587
274,,,,,,-4.3064,3.3743,2.39
275,,,,,,-4.3201,3.3849,5.2666
276,,,,,,-4.3126,3.379,7.1842
277,,,,,,-4.3116,3.3782,8.9231
278,,,,,,-4.3154,3.5622,8.9355
279,,,,,,-4.3279,3.5729,6.2236
280,,,,,,-4.3204,3.5666,3.987
281,,,,,,-4.3131,3.5605,2.1406
282,,,,,,-4.3024,3.3609,0.0949
283,,,,,,-3.3363,-5.4958,0.1388
284,,,,,,-3.3341,-5.4923,2.5212
285,,,,,,-3.3342,-5.4929,4.7713
286,,,,,,-3.3335,-5.4917,6.7344
287,,,,,,-3.3392,-5.5011,8.5384
288,,,,,,-3.356,-4.9632,8.5684
289,,,,,,-3.3455,-4.9476,6.0978
290,,,,,,-3.3455,-4.9477,3.8118
291,,,,,,-3.3467,-4.9494,1.8903
292,,,,,,-3.3504,-4.9545,0.1557
293,,,,,,-3.3937,-3.6058,0.2116
294,,,,,,-3.3883,-3.6001,2.3209
295,,,,,,-3.3841,-3.5957,4.7895
296,,,,,,-3.3834,-3.5951,6.4618
297,,,,,,-3.3954,-3.5854,8.9532
298,,,,,,-3.4081,-2.9936,8.8125
299,,,,,,-3.4039,-2.99,6.0379
300,,,,,,-3.4027,-2.9957,4.2509
301,,,,,,-3.4035,-2.9965,1.9998
302,,,,,,-3.4063,-2.9988,0.2495
303,,,,,,-3.4496,-1.6798,0.1699
304,,,,,,,,
305,,,,,,-3.445,-1.6776,2.1806
306,,,,,,-3.4399,-1.6753,4.3109
307,,,,,,-3.437,-1.6739,6.2834
308,,,,,,-3.4497,-1.5837,8.6149
309,,,,,,-3.4676,-1.0925,8.9937
310,,,,,,-3.4623,-1.0907,6.1573
311,,,,,,-3.4762,-1.095,3.8195
312,,,,,,-3.4636,-1.091,2.0165
313,,,,,,-3.4678,-1.0923,0.2756
314,,,,,,-3.5064,0.198,0.2002
315,,,,,,-3.5017,0.1975,3.1046
316,,,,,,-3.4962,0.1971,5.2801
317,,,,,,-3.4806,0.1962,7.2045
318,,,,,,-3.507,0.1976,8.7654
