Point Id,,,,,,Easting,Northing,Elevation
DEFAULT23,,,,,,,,
142,,,,,,3.3554,1.3615,4.8133
143,,,,,,3.3492,1.359,6.5522
144,,,,,,3.3636,0.2305,6.5384
145,,,,,,3.3677,0.2307,4.9259
146,,,,,,3.378,0.2315,3.738
147,,,,,,3.3814,0.2316,2.6024
148,,,,,,3.3869,0.232,1.7656
149,,,,,,3.4034,-1.4146,2.0437
150,,,,,,3.4013,-1.4139,2.9497
151,,,,,,3.3977,-1.4123,4.0006
152,,,,,,3.3901,-1.409,4.9392
153,,,,,,3.3823,-1.4058,6.6521
154,,,,,,3.4037,-3.0828,6.5546
155,,,,,,3.4099,-3.0885,4.9125
156,,,,,,3.4166,-3.0947,3.7711
157,,,,,,3.4234,-3.1008,2.5405
158,,,,,,3.4337,-4.8302,2.9089
159,,,,,,3.4302,-4.8251,4.7645
160,,,,,,3.4152,-4.8039,6.5606
161,,,,,,3.4461,-6.8598,6.4934
162,,,,,,3.4529,-6.8737,4.8945
163,,,,,,3.4576,-6.8829,3.784
164,,,,,,3.2721,5.1834,6.877
165,,,,,,3.1205,4.9431,7.5259
166,,,,,,3.1503,2.5207,7.4936
167,,,,,,3.2702,2.0246,7.0126
168,,,,,,3.237,-0.1974,7.2772
169,,,,,,3.3054,-1.8253,7.0846
170,,,,,,3.2386,-4.0727,7.486
171,,,,,,3.3256,-4.5988,7.1241
172,,,,,,3.3058,-6.605,7.3161
173,,,,,,3.4273,-7.2535,6.8432
174,,,,,,1.1715,-7.2777,7.8973
175,,,,,,1.1533,-6.4814,8.7493
176,,,,,,1.1289,-4.227,7.8722
177,,,,,,1.096,-2.8322,8.7386
178,,,,,,1.0901,-1.1864,7.8758
179,,,,,,1.0619,-0.1499,8.7629
180,,,,,,1.0548,1.6443,7.9361
181,,,,,,1.0245,3.1524,8.7019
182,,,,,,1.0063,5.4867,7.9691
183,,,,,,0.9949,5.424,8.8609
184,,,,,,-3.9336,4.8283,2.2311
185,,,,,,-3.9325,4.8271,3.9987
186,,,,,,-3.9323,4.8268,5.3666
187,,,,,,-3.9365,4.8316,6.5674
188,,,,,,-3.9523,4.8514,7.9824
189,,,,,,-3.9597,4.86,8.7859
190,,,,,,-3.9488,4.5544,8.9707
191,,,,,,-3.9346,4.5382,7.6862
192,,,,,,-3.9213,4.5228,6.5199
193,,,,,,-3.9169,4.5179,4.7856
194,,,,,,-3.9186,4.5198,3.1275
195,,,,,,-3.9219,4.5236,2.2064
196,,,,,,-4.2923,4.3273,8.7118
197,,,,,,-4.2844,4.3194,7.764
198,,,,,,-4.2754,4.3103,6.0755
199,,,,,,-4.2775,4.3125,3.9854
200,,,,,,-4.2789,4.3142,2.6309
201,,,,,,-4.2808,4.3161,2.1863
202,,,,,,-4.2639,2.347,0.6357
203,,,,,,-4.2652,2.3474,2.6226
204,,,,,,-4.2714,2.3508,4.5043
205,,,,,,-4.2726,2.3515,5.8025
206,,,,,,-4.2777,2.3543,7.5322
207,,,,,,-4.2857,2.3587,8.9356
208,,,,,,-4.2773,1.9467,8.7258
209,,,,,,-4.2721,1.944,7.3424
210,,,,,,-4.2706,1.9437,6.217
211,,,,,,-4.264,1.9407,4.8906
212,,,,,,-4.2633,1.9404,2.823
213,,,,,,-4.2556,1.9372,0.6466
214,,,,,,-4.2317,0.4594,0.6753
215,,,,,,-4.2355,0.4597,2.579
216,,,,,,-4.2437,0.4605,4.2459
217,,,,,,-4.2447,0.4607,5.7716
218,,,,,,-4.2569,0.4619,7.535
