Point Id	Easting	Northing	Elevation	Code	
DEFAULT21					
167	-4.0565	-4.3272	8.7269		
168	-3.3481	4.6293	1.8987		
169	-3.3510	4.6333	3.0613		
170	-3.3570	4.6415	4.3516		
171	-3.3623	4.6487	5.9929		
172	-3.3683	4.6569	7.5038		
173	-3.3652	4.6526	8.7501		
174	-3.3677	4.2346	8.7373		
175	-3.3610	4.2261	7.4136		
176	-3.3522	4.2151	5.8989		
177	-3.3434	4.2042	4.3621		
178	-3.3387	4.1986	2.6951		
179	-3.3306	4.1883	0.3923		
180	-3.3292	2.8131	0.5056		
181	-3.3347	2.8175	1.8556		
182	-3.3359	2.8186	3.5342		
183	-3.3444	2.8258	5.3530		
184	-3.3602	2.8393	7.1460		
185	-3.3712	2.8484	8.7235		
186	-3.3717	2.3013	8.8524		
187	-3.3593	2.2930	7.2301		
188	-3.3535	2.2891	5.7667		
189	-3.3390	2.2795	3.4901		
190	-3.3367	2.2778	2.0079		
191	-3.3321	2.2748	0.5339		
192	-3.3273	0.8836	0.5677		
193	-3.3352	0.8854	2.0365		
194	-3.3421	0.8872	3.0432		
195	-3.3455	0.8881	4.5682		
196	-3.3560	0.8909	6.0619		
197	-3.3686	0.8941	8.5970		
198	-3.3705	0.4157	8.7299		
199	-3.3629	0.4148	7.6971		
200	-3.3489	0.4132	5.8817		
201	-3.3411	0.4123	4.2565		
202	-3.3329	0.4113	2.3741		
203	-3.3244	0.4104	0.4933		
204	-3.3261	-1.0156	0.4661		
205	-3.3249	-1.0151	1.8509		
206	-3.3311	-1.0171	3.4211		
207	-3.3383	-1.0192	4.8583		
208	-3.3474	-1.0222	6.6427		
209	-3.3589	-1.0258	8.5454		
210	-3.3557	-1.4914	8.6305		
211	-3.3478	-1.4878	6.5778		
212	-3.3402	-1.4843	5.0053		
213	-3.3350	-1.4819	3.5088		
214	-3.3291	-1.4792	1.8903		
215	-3.3261	-1.4109	0.5382		
216	-3.3286	-2.8852	0.6733		
217	-3.3324	-2.8887	2.0638		
218	-3.3347	-2.8907	3.7468		
219	-3.3383	-2.8939	5.2265		
220	-3.3446	-2.8993	7.1406		
221	-3.3545	-2.9081	8.6764		
222	-3.3524	-3.3673	8.6212		
223	-3.3445	-3.3596	7.4630		
224	-3.3342	-3.3489	5.5774		
225	-3.3287	-3.3431	3.7048		
226	-3.3261	-3.3405	2.1020		
227	-3.3213	-3.3356	0.5537		
228	-3.3251	-4.7937	0.4538		
229	-3.3299	-4.8009	2.2620		
230	-3.3329	-4.8051	3.7493		
231	-3.3389	-4.8138	5.2552		
232	-3.3432	-4.8201	7.1307		
233	-3.3468	-4.8254	8.5855		
234	-3.3148	-6.6887	0.3956		
235	-3.3250	-6.7096	1.9520		
236	-3.3317	-6.7234	3.4216		
237	-3.3452	-6.7512	5.6125		
238	-3.3530	-6.7673	7.3210		
239	-3.3551	-6.7707	8.6944		
240	-3.3626	-7.1878	8.7545		
241	-3.3588	-7.1793	7.1959		
242	-3.3482	-7.1567	5.5907		
243	-3.3408	-7.1406	4.0431		
244	-3.3299	-7.1168	2.3188		
245	-3.3150	-7.0853	0.4311		
246	-3.6946	-8.1381	8.8356		
247	-3.6791	-8.1039	7.0888		
248	-3.6688	-8.0806	5.0558		
249	-3.6648	-8.0718	3.3973		
250	-3.6621	-8.0661	2.0331		
251	-3.6876	-8.1224	0.3807		
252	-3.6601	-8.2507	0.2451		
253	-3.6602	-8.2506	2.0142		
254	-3.6629	-8.2574	3.8298		
255	-3.6666	-8.2653	6.2155		
256	-3.6802	-8.2953	7.5679		
257	-3.6907	-8.3199	8.6584		
258	-3.5697	-8.3792	8.7626		
259	-3.5724	-8.3854	7.3842		
260	-3.5748	-8.3908	5.8644		
261	-3.5687	-8.3772	4.2630		
262	-3.5644	-8.3660	2.8034		
263	-3.5607	-8.3579	1.8130		
264	-3.1490	-8.3578	1.8067		
265	-3.1517	-8.3647	3.0546		
266	-3.1536	-8.3686	4.6707		
267	-3.1572	-8.3784	6.2954		
268	-3.1502	-8.3590	7.8043		
269	-3.1595	-8.3853	8.6723		
270	-1.6883	-8.3532	0.5373		
271	-1.6894	-8.3579	2.1702		
272	-1.6902	-8.3627	4.0465		
273	-1.6913	-8.3684	6.1695		
274	-1.6916	-8.3701	7.7809		
275	-1.6911	-8.3696	8.7348		
276	-1.3330	-8.3702	8.6797		
277	-1.3326	-8.3709	6.9087		
278	-1.3327	-8.3700	5.2592		
279	-1.3328	-8.3683	3.8684		
280	-1.3320	-8.3627	2.4163		
281	-1.3310	-8.3559	0.8481		
282	0.2631	-8.3557	0.5261		
283	0.2627	-8.3598	2.2749		
284	0.2625	-8.3622	3.7621		
285	0.2632	-8.3695	6.0038		
286	0.2636	-8.3769	7.7550		
287	0.2637	-8.3771	8.7532		
288	0.5949	-8.3766	8.7634		
289	0.5948	-8.3771	7.4983		
290	0.5949	-8.3746	6.0932		
291	0.5944	-8.3661	4.2271		
292	0.5938	-8.3596	2.1874		
293	0.5933	-8.3534	0.4117		
294	2.0076	-8.3458	0.1539		
295	2.0087	-8.3502	1.6034		
296	2.0107	-8.3579	3.6543		
297	2.0161	-8.3805	6.1258		
298	2.0180	-8.3880	7.0915		
299	2.4703	-8.3889	7.4238		
300	2.4651	-8.3710	6.0076		
301	2.4596	-8.3538	3.9857		
302	2.4568	-8.3445	2.0731		
303	2.5250	-8.3359	0.3010		
304	3.0096	-7.6230	0.3853		
305	3.0148	-7.6355	2.1091		
306	3.0185	-7.6446	4.0576		
307	2.9702	-7.6506	5.8112		
308	2.9777	-7.6697	7.3134		
309	3.4000	-7.6631	6.9904		
310	3.3946	-7.6510	6.0416		
311	3.3914	-7.6434	3.3093		
312	3.3878	-7.6357	1.9348		
313	3.3851	-7.6298	0.8112		
314	1.5849	-7.6377	0.2787		
315	1.5856	-7.6410	1.6445		
316	1.5866	-7.6451	2.8596		
317	1.5885	-7.6569	5.6350		
318	1.5902	-7.6646	6.6501		
319	1.1212	-7.6619	8.8013		
320	1.1212	-7.6623	7.1042		
321	1.1197	-7.6518	4.4687		
322	1.1184	-7.6449	2.8624		
323	1.1174	-7.6381	1.4184		
324	1.1171	-7.6353	0.2702		
325	-0.3141	-7.6520	1.2120		
326	-0.3144	-7.6575	3.0785		
327	-0.3143	-7.6569	4.4774		
328	-0.3146	-7.6637	6.2062		
329	-0.3146	-7.6657	7.4709		
330	-0.3145	-7.6625	8.6480		
331	-0.8107	-7.6593	8.6786		
332	-0.8113	-7.6630	7.2401		
333	-0.8114	-7.6633	5.7416		
334	-0.8108	-7.6551	3.5147		
335	-0.8100	-7.6490	2.3411		
336	-0.8097	-7.6454	1.1393		
337	-2.1561	-7.6360	0.1927		
338	-2.1580	-7.6419	1.8365		
339	-2.1586	-7.6458	3.6470		
340	-2.1605	-7.6510	5.6354		
341	-2.1631	-7.6609	7.3402		
342	-2.1632	-7.6631	8.7667		
343	-2.6639	-7.6691	8.7436		
344	-2.6620	-7.6635	7.2347		
345	-2.6591	-7.6549	5.2071		
346	-2.6583	-7.6519	3.1786		
347	-2.6568	-7.6474	1.8595		
348	-2.4023	-7.6392	0.1919		
349	3.4377	-6.5977	0.1591		
350	3.5534	-6.8197	0.6247		
351	3.5482	-4.7638	0.6409		
352	3.4191	-4.5892	0.1171		
353	3.4174	-2.7394	0.1386		
354	3.5545	-2.8494	0.6914		
355	3.5504	-1.3894	0.6709		
356	3.4023	-1.3313	0.1127		
357	3.3989	-0.1179	0.0869		
358	3.5547	-0.1234	0.6935		
359	3.5595	1.5059	0.7167		
360	3.4053	1.4405	0.1108		
361	3.3998	3.4140	0.1376		
362	3.5092	3.5238	0.6278		
363	3.5293	5.9546	0.6688		
364	3.3969	6.0307	0.1494		
365	3.5621	5.7696	1.1607		
366	3.5520	5.7539	2.5761		
367	3.5456	5.7438	3.9668		
368	3.5396	5.7344	4.8326		
369	3.5374	5.7304	6.4502		
370	3.5329	3.4165	6.3917		
371	3.5459	3.4290	4.8388		
372	3.5591	3.4417	2.8174		
373	3.5619	3.4443	1.1750		
374	3.5749	1.8755	1.2236		
375	3.5665	1.8712	2.6633		
376	3.5486	1.8620	4.4324		
377	3.5159	1.8040	6.3903		
378	3.5300	-0.0225	6.4852		
379	3.5521	-0.0226	4.9206		
380	3.5742	-0.0228	2.5258		
381	3.5802	-0.0229	1.1266		
382	3.5896	-1.7678	1.0901		
383	3.5843	-1.7652	2.7357		
384	3.5713	-1.7587	4.2700		
385	3.5508	-1.7485	6.3702		
386	3.5567	-3.5196	6.5348		
387	3.5660	-3.5288	4.8172		
388	3.5731	-3.5361	2.7240		
389	3.5786	-3.5421	1.1377		
390	3.5865	-5.2803	1.1202		
391	3.5812	-5.2726	2.6159		
392	3.5765	-5.2651	4.2605		
393	3.5554	-5.2340	6.3353		
394	3.5688	-7.2598	6.4645		
395	3.5806	-7.2842	4.5091		
396	3.5882	-7.2999	2.5633		
397	3.5960	-7.3158	1.1324		
398	3.5242	-7.3966	6.9154		
399	3.3999	-7.4234	7.4397		
400	3.3950	-3.9361	7.4159		
401	3.5236	-3.9590	6.8980		
402	3.3757	-1.8289	7.4987		
403	3.5207	-1.8746	6.8969		
404	3.4982	0.3291	6.8955		
405	3.3698	0.3170	7.4793		
406	3.3452	2.1044	7.4991		
407	3.4896	2.1952	6.8824		
408	3.3542	4.1432	7.4542		
409	3.4852	4.1120	6.9405		
410	3.3573	6.1271	7.4588		
411	3.4819	6.0455	6.9780		
412	1.2783	-7.2729	7.8521		
413	1.2710	-7.2306	8.6524		
414	1.2743	-5.1570	7.8782		
415	1.2695	-5.1371	8.7369		
416	1.2737	-3.3465	7.9534		
417	1.2730	-3.3448	8.7988		
418	1.2637	-0.9778	7.8943		
419	1.2696	-0.9824	8.7913		
420	1.2610	1.1331	8.0624		
421	1.2582	1.1306	8.8338		
422	1.2567	2.4472	8.0720		
423	1.2522	2.4386	8.8158		
424	1.2491	3.9345	8.0576		
425	1.2480	3.9307	8.7791		
426	1.2536	5.9454	7.9646		
427	1.2458	5.9111	8.8643		
428	3.1068	5.8125	7.6225		
429	2.1872	5.2438	7.6301		
430	3.1027	3.7910	7.6064		
431	2.1822	2.1408	7.6292		
432	3.2218	0.2951	7.6011		
433	2.2153	-1.7110	7.6174		
434	3.2692	-3.4880	7.5899		
435	2.3064	-4.0517	7.6024		
436	3.1822	-7.0203	7.5745		
437	2.3248	-8.0086	7.5870		
438	0.3230	-7.8109	9.0338		
439	-1.6454	-7.8078	9.0263		
440	-3.2139	-8.1179	9.0206		
441	-3.1493	-6.3041	9.0257		
442	-2.1259	-6.2754	9.0305		
443	-0.9118	-6.3189	9.0329		
444	0.6370	-6.3237	9.0386		
445	0.6664	-5.4761	9.0435		
446	-1.0762	-5.4090	9.0383		
447	-2.0881	-5.3833	9.0367		
448	-3.2366	-5.1301	9.0279		
449	-3.2925	-3.8739	9.0292		
450	-1.8303	-4.0327	9.0443		
451	-0.4068	-3.7349	9.0536		
452	0.8405	-3.5809	9.0588		
453	0.8453	-2.3055	9.0596		
454	-0.3086	-2.3381	9.0496		
455	-1.6624	-2.2473	9.0398		
456	-3.2579	-2.2041	9.0336		
457	-3.1967	-1.0783	9.0351		
458	-1.8465	-0.9440	9.0502		
459	-0.2838	-0.6429	9.0576		
460	0.8604	-0.5896	9.0650		
461	1.0967	1.4659	9.0744		
462	-0.3203	1.4212	9.0676		
463	-1.9735	1.3287	9.0573		
464	-3.5392	1.4518	9.0552		
465	-3.2130	2.8051	9.0553		
466	-2.1996	2.9066	9.0559		
467	-0.6310	3.1012	9.0698		
468	0.7730	3.0751	9.0778		
469	0.1863	4.1682	9.0662		
470	-1.0865	4.2344	9.0638		
471	-2.0562	4.2931	9.0670		
472	-2.9581	4.4077	9.0486		
473	-2.7312	5.5762	9.0656		
474	-1.6835	5.4267	9.0672		
475	-0.1128	5.3486	9.0713		
476	1.0295	5.3954	9.0848		
477	2.7447	5.3296	-0.0064		
478	1.4373	5.5439	-0.0043		
479	0.4016	5.2534	-0.0124		
480	-0.6786	5.3657	-0.0221		
481	-1.9967	5.3349	-0.0169		
482	-3.3114	5.3254	-0.0199		
483	-3.2288	3.4546	-0.0216		
484	-2.2985	3.1433	-0.0101		
485	-1.2613	3.0636	-0.0072		
486	0.3770	3.3830	-0.0097		
487	1.4235	3.3838	-0.0128		
488	2.5249	3.3895	-0.0072		
489	3.0529	2.6404	-0.0072		
490	1.9874	2.5161	-0.0008		
491	0.5136	2.4621	-0.0013		
492	-1.2313	2.2795	-0.0026		
493	-2.1277	2.2316	-0.0132		
494	-2.8625	2.3795	-0.0264		
495	-2.8227	0.6844	-0.0224		
496	-1.8476	0.4480	-0.0172		
497	-0.7863	0.4419	-0.0060		
498	0.9488	0.5858	0.0059		
499	2.1056	0.5820	0.0019		
500	3.1447	0.6486	0.0020		
501	3.0857	-0.9115	0.0040		
502	1.9995	-0.9445	0.0012		
503	0.9002	-1.2900	-0.0045		
504	-0.6021	-1.4625	-0.0122		
505	-1.8258	-1.1734	-0.0181		
506	-2.8293	-1.2072	-0.0225		
507	-2.8513	-2.9932	-0.0219		
508	-1.8134	-3.2917	-0.0229		
509	-0.7563	-3.4034	-0.0211		
510	0.9415	-3.0499	-0.0136		
511	1.9177	-3.0832	-0.0123		
512	2.9972	-3.2001	-0.0055		
513	3.0652	-4.5659	-0.0181		
514	2.0600	-4.7396	-0.0164		
515	1.0074	-4.3774	-0.0211		
516	-0.8099	-4.4411	-0.0285		
517	-1.9033	-4.4202	-0.0370		
518	-2.8925	-4.0211	-0.0335		
519	-2.8914	-5.7170	-0.0385		
520	-1.8165	-6.1066	-0.0384		
521	-0.5960	-5.9242	-0.0340		
522	0.9975	-5.9411	-0.0287		
523	2.1259	-5.5956	-0.0196		
524	3.0331	-6.1966	-0.0260		
525	2.9390	-7.3282	-0.0350		
