  -3749.9273750000,	   -2561.0197000000,	    -383.7047750000 ; 		 //plane 11 point @73 
  -3013.2565000000,	   -2374.0892000000,	   -1471.1915000000 ; 		 //plane 11 point @74 
  -3919.4838000000,	   -4476.0871000000,	    -666.4154000000 ; 		 //plane 12 point @75 
  -3749.9273750000,	   -2561.0197000000,	    -383.7047750000 ; 		 //plane 12 point @76 
  -4770.1548250000,	   -2736.8828750000,	    3543.1745750000 ; 		 //plane 12 point @77 
  -4929.2724000000,	   -4497.2033000000,	    3280.4318000000 ; 		 //plane 12 point @78 
  -3919.4838000000,	   -4476.0871000000,	    -666.4154000000 ; 		 //plane 12 point @79 
  -4929.2724000000,	   -4497.2033000000,	    3280.4318000000 ; 		 //plane 13 point @80 
  -4770.1548250000,	   -2736.8828750000,	    3543.1745750000 ; 		 //plane 13 point @81 
  -4720.0649500000,	   -2571.4193500000,	    5258.5830500000 ; 		 //plane 13 point @82 
  -4883.6798000000,	   -4496.2499000000,	    5391.0959000000 ; 		 //plane 13 point @83 
  -4929.2724000000,	   -4497.2033000000,	    3280.4318000000 ; 		 //plane 13 point @84 
  -4883.6798000000,	   -4496.2499000000,	    5391.0959000000 ; 		 //plane 14 point @85 
  -4720.0649500000,	   -2571.4193500000,	    5258.5830500000 ; 		 //plane 14 point @86 
  -4486.5308000000,	   -2571.2346000000,	    6151.1568000000 ; 		 //plane 14 point @87 
  -4685.5234000000,	   -4492.1062000000,	    6144.3681000000 ; 		 //plane 14 point @88 
  -4883.6798000000,	   -4496.2499000000,	    5391.0959000000 ; 		 //plane 14 point @89 
  -2975.5556000000,	    1436.7402000000,	    6177.3275000000 ; 		 //plane 15 point @90 
  -2820.5825000000,	   -4453.1074000000,	    6164.8950000000 ; 		 //plane 15 point @91 
  -2814.9010000000,	   -4452.9886000000,	    7606.5995000000 ; 		 //plane 15 point @92 
  -2969.9558000000,	    1439.0339000000,	    7612.8505000000 ; 		 //plane 15 point @93 
  -2975.5556000000,	    1436.7402000000,	    6177.3275000000 ; 		 //plane 15 point @94 
