Point Id,,,,,,Easting,Northing,Elevation
DEFAULT19,,,,,,,,
144,,,,,,4.4334,-2.3886,1.9389
145,,,,,,4.441,-2.3925,3.8875
146,,,,,,4.422,-2.3822,6.3458
147,,,,,,4.4143,-0.7873,6.363
148,,,,,,4.4268,-0.7896,4.7802
149,,,,,,4.4288,-0.7901,3.0738
150,,,,,,4.4269,-0.7899,1.3195
151,,,,,,4.4139,1.3772,2.6141
152,,,,,,4.405,1.3745,4.2478
153,,,,,,4.3995,1.3728,6.704
154,,,,,,4.3937,3.4792,6.3778
155,,,,,,4.407,3.4896,4.8165
156,,,,,,4.4198,3.4997,3.5409
157,,,,,,4.3897,5.1582,4.5258
158,,,,,,4.3717,5.1371,6.3607
159,,,,,,4.2622,-1.3993,0.1633
160,,,,,,4.3719,-1.4355,0.6139
161,,,,,,4.4159,-3.8697,0.7232
162,,,,,,4.2734,-3.8365,0.1725
163,,,,,,3.4055,-4.6962,7.4839
164,,,,,,3.418,-4.7136,5.0295
165,,,,,,3.4246,-4.7228,2.4161
166,,,,,,3.4322,-4.7335,0.2146
167,,,,,,3.0432,-4.6947,7.385
168,,,,,,3.0565,-4.7156,4.5912
169,,,,,,3.0651,-4.7289,2.17
170,,,,,,3.0717,-4.7391,0.3536
171,,,,,,1.5107,-4.7325,0.4314
172,,,,,,1.5079,-4.7243,2.7236
173,,,,,,1.5041,-4.7116,4.6455
174,,,,,,1.5263,-4.7007,7.1665
175,,,,,,1.5236,-4.6926,8.3035
176,,,,,,1.0002,-4.7073,7.9711
177,,,,,,1.0011,-4.7121,7.0499
178,,,,,,1.0024,-4.7184,4.0814
179,,,,,,1.0041,-4.7265,2.3237
180,,,,,,1.006,-4.7357,0.4941
181,,,,,,-0.4072,-4.7064,8.2894
182,,,,,,-0.4083,-4.7181,6.3876
183,,,,,,-0.4087,-4.7225,3.8278
184,,,,,,-0.4093,-4.7305,2.0773
185,,,,,,-0.4101,-4.7374,0.9208
186,,,,,,-0.8799,-4.7438,0.4592
187,,,,,,-0.8777,-4.733,2.7633
188,,,,,,-0.8761,-4.7252,4.5245
189,,,,,,-0.8748,-4.7175,6.5794
190,,,,,,-0.8736,-4.7098,8.1852
191,,,,,,-2.3029,-4.7051,8.3699
192,,,,,,-2.3123,-4.7242,6.3473
193,,,,,,-2.3173,-4.7343,4.2345
194,,,,,,-2.3218,-4.7433,2.1614
195,,,,,,-2.3267,-4.7528,0.3516
196,,,,,,-2.7033,-4.696,8.5111
197,,,,,,-2.7135,-4.7135,6.4997
198,,,,,,-2.7191,-4.7232,4.5185
199,,,,,,-2.731,-4.7439,2.2796
200,,,,,,-2.7404,-4.76,0.3204
201,,,,,,-1.7929,-4.0388,0.5267
202,,,,,,-1.789,-4.0296,2.6319
203,,,,,,-1.784,-4.0185,4.4263
204,,,,,,-1.7807,-4.0113,6.4343
205,,,,,,-1.7732,-3.9945,8.5834
206,,,,,,-1.2921,-3.9965,8.1523
207,,,,,,-1.295,-4.0048,6.2902
208,,,,,,-1.2973,-4.0121,4.2478
209,,,,,,-1.3017,-4.0254,2.3127
210,,,,,,-1.3046,-4.034,0.3038
211,,,,,,0.131,-3.9866,8.896
212,,,,,,0.1313,-3.9969,6.9194
213,,,,,,0.1315,-4.0042,4.9548
214,,,,,,0.1318,-4.0164,2.804
215,,,,,,0.1321,-4.0259,1.1727
216,,,,,,0.5864,-4.0236,1.1709
217,,,,,,0.5847,-4.0128,2.9659
218,,,,,,0.5836,-4.0039,4.8755
219,,,,,,0.5825,-3.9966,6.855
220,,,,,,0.5824,-3.9948,8.7404
221,,,,,,1.896,-3.9711,8.7192
222,,,,,,2.0415,-3.9975,6.2677
223,,,,,,2.0444,-4.0035,4.0006
224,,,,,,2.051,-4.0169,1.9846
225,,,,,,2.0552,-4.0251,0.3832
226,,,,,,2.4594,-4.0332,0.3384
227,,,,,,2.4513,-4.02,1.909
228,,,,,,2.4408,-4.0029,4.0408
229,,,,,,2.4676,-3.9942,6.5079
230,,,,,,3.8098,-3.9861,7.1064
231,,,,,,3.8343,-4.0117,4.7617
232,,,,,,3.8411,-4.019,2.2048
233,,,,,,3.8429,-4.021,0.2966
234,,,,,,4.228,-4.0203,0.8143
235,,,,,,4.2238,-4.0161,3.0039
236,,,,,,4.2192,-4.0116,4.7522
237,,,,,,4.1855,-3.9794,7.4511
238,,,,,,-2.9257,6.967,0.1025
239,,,,,,-2.9304,6.9778,2.6182
240,,,,,,,,
241,,,,,,-2.9337,6.9856,4.6218
242,,,,,,-2.9305,6.9775,8.7297
243,,,,,,-2.9098,6.4787,8.6836
244,,,,,,-2.9124,6.4849,6.6902
245,,,,,,-2.9126,6.4856,4.4252
246,,,,,,-2.9102,6.4804,2.3438
247,,,,,,-2.9144,6.4899,0.0668
248,,,,,,-3.2285,2.2919,0.2065
249,,,,,,-3.225,2.2893,2.4029
250,,,,,,-3.2269,2.2906,4.1933
251,,,,,,-3.2336,2.2952,5.9043
252,,,,,,-3.2322,2.2942,8.3321
253,,,,,,-3.2277,1.9962,8.542
254,,,,,,-3.2364,2.0016,6.5919
255,,,,,,-3.2261,1.9954,4.3472
256,,,,,,-3.225,1.9949,2.1727
257,,,,,,-3.2287,1.9971,0.3025
258,,,,,,-3.2195,0.4415,0.2962
259,,,,,,-3.2173,0.441,1.9974
260,,,,,,-3.2194,0.4415,3.6092
261,,,,,,-3.2189,0.4412,5.5289
262,,,,,,-3.2185,0.4412,7.6299
263,,,,,,-3.2199,0.0203,7.5747
264,,,,,,-3.2157,0.0202,5.5463
265,,,,,,-3.2135,0.0205,2.3323
266,,,,,,-3.2133,0.0205,1.0066
267,,,,,,-3.216,0.0202,0.2953
268,,,,,,-3.2092,-1.5052,0.2556
269,,,,,,-3.21,-1.5055,2.0214
270,,,,,,-3.2071,-1.5043,3.771
271,,,,,,-3.2062,-1.504,5.752
272,,,,,,-3.2119,-1.507,8.1075
273,,,,,,-3.2139,-1.9195,8.3479
274,,,,,,-3.2054,-1.9143,5.7756
275,,,,,,-3.207,-1.9152,3.9651
276,,,,,,-3.209,-1.9163,1.7818
277,,,,,,-3.2092,-1.9164,0.2943
278,,,,,,-3.1947,-3.8616,0.2647
279,,,,,,-3.1791,-3.8429,2.4982
280,,,,,,-3.173,-3.8356,4.7875
281,,,,,,-3.173,-3.8356,7.0712
282,,,,,,-3.1886,-3.8546,8.6502
283,,,,,,-2.5407,5.1667,8.6218
284,,,,,,-2.537,5.1593,6.3367
285,,,,,,-2.5355,5.1564,4.1977
286,,,,,,-2.5352,5.1561,2.4203
287,,,,,,-2.534,5.1536,1.2012
288,,,,,,-2.5322,4.7135,8.7168
289,,,,,,-2.5333,4.7159,6.1656
290,,,,,,-2.5275,4.7051,4.3137
291,,,,,,-2.5274,4.7051,2.6917
292,,,,,,-2.5266,4.7037,1.0434
293,,,,,,-2.5189,3.2883,0.3148
294,,,,,,-2.5211,3.2913,2.102
295,,,,,,-2.5242,3.2953,4.1408
296,,,,,,-2.5332,3.3069,6.3664
297,,,,,,-2.5357,3.31,8.5041
298,,,,,,-2.5263,2.8449,8.4478
299,,,,,,-3.1707,3.5702,4.7682
300,,,,,,-2.5203,2.8384,3.7853
301,,,,,,-2.5185,2.8365,1.9725
302,,,,,,-2.52,2.8381,0.2686
303,,,,,,-2.5121,1.333,0.2805
304,,,,,,-2.5098,1.3317,2.5394
305,,,,,,-2.5117,1.3326,4.3696
306,,,,,,-2.5182,1.336,6.6681
307,,,,,,-2.5157,1.3346,8.3825
308,,,,,,-2.5089,0.9561,8.4523
309,,,,,,-2.5133,0.9577,6.5113
310,,,,,,-2.5072,0.9555,4.1597
311,,,,,,-2.5072,0.9557,2.2776
312,,,,,,-2.5089,0.9563,0.3558
313,,,,,,-2.5022,-0.5615,0.3105
314,,,,,,-2.5024,-0.5615,2.4365
315,,,,,,-2.5023,-0.5616,4.8831
316,,,,,,-2.5028,-0.5618,6.3335
317,,,,,,-2.5056,-0.5625,7.8689
318,,,,,,-2.5035,-0.9464,8.0102
319,,,,,,-2.5009,-0.9452,6.4538
320,,,,,,-2.4997,-0.9446,3.9922
321,,,,,,-2.5007,-0.945,2.1851
322,,,,,,-2.5021,-0.9454,0.3113
323,,,,,,-2.491,-2.3996,0.2249
324,,,,,,-2.4893,-2.3978,2.4171
325,,,,,,-2.4842,-2.393,4.6485
326,,,,,,-2.4873,-2.3962,6.5089
327,,,,,,-2.4948,-2.4035,8.1838
328,,,,,,-2.485,-2.8156,8.5617
329,,,,,,-2.4823,-2.8124,6.3034
330,,,,,,-2.4804,-2.8101,4.2596
331,,,,,,-2.4854,-2.8157,2.312
332,,,,,,-2.4899,-2.8207,0.3561
333,,,,,,-2.8169,-4.5907,8.8436
334,,,,,,-2.8148,-4.587,7.013
335,,,,,,-2.8173,-4.5907,4.2472
