   Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
SMG             ,    0 00 02 ,   89 49 57,          0,      0.000,      0.000,            0,            0,          0
2               ,    0 00 03 ,   89 50 00,      8.511,      0.000,      0.000,        0.000,        8.511,      0.025
3               ,    1 57 58 ,  129 02 30,      2.228,      0.000,      0.000,        0.059,        1.730,     -1.404
4               ,    1 58 10 ,   12 46 29,      7.855,      0.000,      0.000,        0.060,        1.736,      7.660
5               ,  339 33 30 ,   54 07 30,     10.332,      0.000,      0.000,       -2.924,        7.845,      6.055
6               ,  342 48 11 ,   57 46 08,      9.680,      0.000,      0.000,       -2.421,        7.822,      5.163
7               ,  340 05 14 ,   62 14 19,      9.409,      0.000,      0.000,       -2.836,        7.828,      4.382
8               ,  343 02 24 ,   66 55 44,      8.878,      0.000,      0.000,       -2.382,        7.812,      3.479
9               ,  339 54 07 ,   73 04 57,      8.710,      0.000,      0.000,       -2.864,        7.826,      2.535
10              ,  342 48 23 ,   78 42 07,      8.331,      0.000,      0.000,       -2.415,        7.804,      1.632
11              ,  340 04 42 ,   83 54 57,      8.350,      0.000,      0.000,       -2.829,        7.806,      0.885
12              ,  343 02 57 ,   88 33 25,      8.163,      0.000,      0.000,       -2.379,        7.806,      0.206
13              ,  339 53 19 ,   93 54 16,      8.326,      0.000,      0.000,       -2.856,        7.800,     -0.567
14              ,  342 32 56 ,   97 53 10,      8.254,      0.000,      0.000,       -2.452,        7.800,     -1.133
15              ,  352 46 22 ,   98 31 31,      7.950,      0.000,      0.000,       -0.989,        7.800,     -1.179
16              ,  356 02 19 ,   98 31 21,      7.899,      0.000,      0.000,       -0.540,        7.793,     -1.171
17              ,  352 37 34 ,   92 46 49,      7.878,      0.000,      0.000,       -1.010,        7.803,     -0.382
18              ,  356 29 31 ,   86 45 14,      7.830,      0.000,      0.000,       -0.478,        7.803,      0.443
19              ,  353 35 05 ,   80 45 11,      7.962,      0.000,      0.000,       -0.878,        7.809,      1.279
20              ,  354 52 46 ,   74 05 42,      8.074,      0.000,      0.000,       -0.693,        7.734,      2.213
21              ,  352 53 25 ,   70 42 15,      8.347,      0.000,      0.000,       -0.975,        7.818,      2.758
22              ,  356 20 44 ,   65 31 16,      8.600,      0.000,      0.000,       -0.499,        7.811,      3.563
23              ,  352 58 19 ,   61 15 42,      8.976,      0.000,      0.000,       -0.963,        7.811,      4.316
24              ,  356 05 08 ,   57 08 29,      9.327,      0.000,      0.000,       -0.535,        7.816,      5.060
25              ,  352 36 08 ,   53 31 26,      9.802,      0.000,      0.000,       -1.015,        7.817,      5.827
26              ,  356 06 43 ,   50 09 56,     10.199,      0.000,      0.000,       -0.531,        7.814,      6.533
27              ,  352 31 31 ,   46 35 36,     10.852,      0.000,      0.000,       -1.026,        7.817,      7.457
28              ,    7 18 17 ,   46 37 17,     10.851,      0.000,      0.000,        1.003,        7.823,      7.453
29              ,   10 38 36 ,   49 52 30,     10.391,      0.000,      0.000,        1.467,        7.809,      6.696
30              ,    7 12 06 ,   52 20 39,      9.945,      0.000,      0.000,        0.987,        7.811,      6.076
31              ,   10 38 10 ,   56 34 37,      9.505,      0.000,      0.000,        1.464,        7.797,      5.235
32              ,    7 24 22 ,   62 04 09,      8.905,      0.000,      0.000,        1.014,        7.802,      4.171
33              ,   10 38 32 ,   66 12 08,      8.665,      0.000,      0.000,        1.464,        7.792,      3.496
34              ,    7 14 39 ,   71 41 33,      8.283,      0.000,      0.000,        0.992,        7.801,      2.602
35              ,   10 27 23 ,   77 53 08,      8.101,      0.000,      0.000,        1.438,        7.790,      1.700
36              ,    7 10 55 ,   84 02 25,      7.900,      0.000,      0.000,        0.982,        7.795,      0.820
37              ,   10 30 28 ,   87 27 10,      7.923,      0.000,      0.000,        1.443,        7.782,      0.352
38              ,   10 21 22 ,   87 56 03,          0,      0.000,      0.000,            0,            0,          0
39              ,    9 14 42 ,   93 20 53,      7.902,      0.000,      0.000,        1.267,        7.786,     -0.462
40              ,   19 29 43 ,   86 05 32,      8.288,      0.000,      0.000,        2.760,        7.795,      0.565
41              ,   21 40 41 ,   79 57 43,      8.513,      0.000,      0.000,        3.097,        7.790,      1.484
42              ,   19 52 29 ,   75 36 53,      8.552,      0.000,      0.000,        2.816,        7.790,      2.125
43              ,   22 00 02 ,   71 25 00,      8.853,      0.000,      0.000,        3.144,        7.780,      2.821
44              ,   19 32 26 ,   67 08 38,      8.971,      0.000,      0.000,        2.765,        7.790,      3.484
45              ,   21 55 23 ,   62 41 40,      9.434,      0.000,      0.000,        3.130,        7.777,      4.328
46              ,   19 53 03 ,   58 44 06,      9.694,      0.000,      0.000,        2.818,        7.792,      5.031
47              ,   21 55 33 ,   55 51 46,     10.140,      0.000,      0.000,        3.134,        7.786,      5.691
48              ,   19 59 58 ,   53 01 50,     10.376,      0.000,      0.000,        2.835,        7.790,      6.240
49              ,   21 38 02 ,   50 42 01,     10.835,      0.000,      0.000,        3.091,        7.794,      6.863
50              ,   19 36 56 ,   47 46 57,     11.169,      0.000,      0.000,        2.777,        7.791,      7.505
51              ,  336 32 31 ,   97 39 23,      9.378,      0.000,      0.000,       -3.700,        8.527,     -1.249
52              ,  338 22 54 ,   93 31 24,      9.184,      0.000,      0.000,       -3.377,        8.522,     -0.564
53              ,  335 47 09 ,   89 09 45,      9.356,      0.000,      0.000,       -3.837,        8.532,      0.137
54              ,  338 12 41 ,   85 15 17,      9.213,      0.000,      0.000,       -3.408,        8.526,      0.762
55              ,  336 09 23 ,   80 29 54,      9.460,      0.000,      0.000,       -3.772,        8.534,      1.562
56              ,  338 08 00 ,   76 25 41,      9.447,      0.000,      0.000,       -3.420,        8.522,      2.217
57              ,  335 49 04 ,   73 10 44,      9.781,      0.000,      0.000,       -3.835,        8.541,      2.830
58              ,  338 42 03 ,   69 18 26,      9.791,      0.000,      0.000,       -3.327,        8.534,      3.460
59              ,  336 26 57 ,   63 59 37,     10.362,      0.000,      0.000,       -3.721,        8.537,      4.543
60              ,  338 36 01 ,   60 23 00,     10.562,      0.000,      0.000,       -3.350,        8.549,      5.220
61              ,  337 06 26 ,   57 11 04,     11.066,      0.000,      0.000,       -3.618,        8.568,      5.997
62              ,  349 26 31 ,   49 13 16,     11.459,      0.000,      0.000,       -1.590,        8.530,      7.484
63              ,  350 25 11 ,   55 02 01,     10.963,      0.000,      0.000,       -1.495,        8.858,      6.283
64              ,  349 28 09 ,   56 20 14,     10.415,      0.000,      0.000,       -1.584,        8.523,      5.773
65              ,  350 24 00 ,   60 50 52,      9.922,      0.000,      0.000,       -1.445,        8.544,      4.833
66              ,  347 34 19 ,   65 20 16,      9.604,      0.000,      0.000,       -1.878,        8.523,      4.007
67              ,  350 16 21 ,   70 36 48,      9.170,      0.000,      0.000,       -1.461,        8.525,      3.044
68              ,  347 15 53 ,   75 07 58,      9.039,      0.000,      0.000,       -1.926,        8.521,      2.319
69              ,  350 06 47 ,   81 09 27,      8.754,      0.000,      0.000,       -1.485,        8.521,      1.346
70              ,  347 14 52 ,   85 19 17,      8.768,      0.000,      0.000,       -1.929,        8.524,      0.715
71              ,  350 19 04 ,   90 39 53,      8.641,      0.000,      0.000,       -1.453,        8.518,     -0.100
