  -3644.3801000000,	   -4351.6464000000,	    -646.4067000000 ; 		 //plane 11 point @69 
  -3601.6068000000,	   -4351.6576000000,	    5334.0281000000 ; 		 //plane 11 point @70 
  -3631.5754000000,	    5776.8045000000,	    5368.2950000000 ; 		 //plane 11 point @71 
  -3647.2233000000,	    5817.7028000000,	    3197.5071000000 ; 		 //plane 11 point @72 
  -3439.3095000000,	   -4351.7002000000,	   -1446.1107000000 ; 		 //plane 12 point @73 
  -3449.2537000000,	   -1040.1086000000,	   -1446.8073000000 ; 		 //plane 12 point @74 
  -3654.0426000000,	   -1114.6837000000,	    -647.3121000000 ; 		 //plane 12 point @75 
  -3644.3801000000,	   -4351.6464000000,	    -646.4067000000 ; 		 //plane 12 point @76 
  -3439.3095000000,	   -4351.7002000000,	   -1446.1107000000 ; 		 //plane 12 point @77 
  -1330.6068000000,	    7553.6438000000,	    7616.4689000000 ; 		 //plane 13 point @78 
  -1338.9045000000,	    7552.4975000000,	    6210.0463000000 ; 		 //plane 13 point @79 
  -1313.8826000000,	   -4352.2581000000,	    6190.0297000000 ; 		 //plane 13 point @80 
  -1305.4724000000,	   -4352.2603000000,	    7615.1096000000 ; 		 //plane 13 point @81 
  -1330.6068000000,	    7553.6438000000,	    7616.4689000000 ; 		 //plane 13 point @82 
