Point Id,,,,,,Easting,Northing,Elevation
DEFAULT17,,,,,,,,
143,,,,,,3.8391,-3.5965,3.3824
144,,,,,,3.8328,-3.5907,2.193
145,,,,,,3.0266,3.5962,0.2096
146,,,,,,3.0358,3.6074,2.1332
147,,,,,,3.0454,3.619,4.4846
148,,,,,,3.0474,3.6013,6.4696
149,,,,,,3.0475,3.581,8.7833
150,,,,,,3.049,3.0557,8.7352
151,,,,,,3.0957,3.1024,6.2812
152,,,,,,3.0527,3.059,4.0993
153,,,,,,3.0468,3.0532,2.1958
154,,,,,,3.0373,3.0435,0.2732
155,,,,,,3.0476,1.7067,0.263
156,,,,,,3.0533,1.71,2.1683
157,,,,,,3.0611,1.7144,4.2473
158,,,,,,3.0667,1.7177,6.3026
159,,,,,,3.0631,1.7157,8.9344
160,,,,,,3.0681,1.1383,8.9039
161,,,,,,3.0677,1.1381,6.3015
162,,,,,,3.0686,1.1382,4.2728
163,,,,,,3.0646,1.1368,2.6617
164,,,,,,3.059,1.1346,0.2894
165,,,,,,3.0738,-0.1944,0.3524
166,,,,,,3.0812,-0.1948,2.1916
167,,,,,,3.0861,-0.1951,4.3447
168,,,,,,3.0934,-0.2009,6.5031
169,,,,,,3.0904,-0.2008,8.8695
170,,,,,,3.1028,-0.7994,8.9224
171,,,,,,3.1032,-0.7996,6.2664
172,,,,,,3.0952,-0.7976,4.1931
173,,,,,,3.0906,-0.7964,2.4256
174,,,,,,3.0793,-0.7937,0.2637
175,,,,,,3.0894,-2.089,0.2577
176,,,,,,3.0979,-2.0947,2.1003
177,,,,,,3.1037,-2.0986,4.0712
178,,,,,,3.1069,-2.1006,6.1625
179,,,,,,3.1172,-2.1075,8.7802
180,,,,,,3.1214,-2.7025,8.7076
181,,,,,,3.1229,-2.7038,6.2553
182,,,,,,3.1147,-2.6969,4.3682
183,,,,,,3.1077,-2.6908,2.0574
184,,,,,,3.0991,-2.6794,0.2808
185,,,,,,3.1295,-4.0343,2.0683
186,,,,,,3.1373,-4.0443,3.7749
187,,,,,,3.1389,-4.0463,5.4085
188,,,,,,3.1421,-4.0505,7.2408
189,,,,,,3.1446,-4.0536,8.8389
190,,,,,,3.1536,-4.5695,8.8767
191,,,,,,3.1459,-4.5582,6.9523
192,,,,,,3.135,-4.5426,5.2935
193,,,,,,3.1328,-4.5397,3.4929
194,,,,,,3.1234,-4.5259,2.062
195,,,,,,3.14,-5.9273,2.0143
196,,,,,,3.1418,-5.9312,3.3859
197,,,,,,3.1477,-5.9422,5.3697
198,,,,,,3.1596,-5.9646,6.9098
199,,,,,,3.1745,-5.9923,8.9224
200,,,,,,3.1729,-6.4471,8.7957
201,,,,,,3.1639,-6.4289,7.2715
202,,,,,,3.1539,-6.4087,5.2427
203,,,,,,3.1494,-6.4,3.1532
204,,,,,,3.1468,-6.3946,2.0197
205,,,,,,3.5135,-7.7215,0.1707
206,,,,,,3.5243,-7.7449,2.2753
207,,,,,,3.5273,-7.7516,4.3693
208,,,,,,3.5336,-7.7652,6.6102
209,,,,,,3.5333,-7.7645,8.8011
210,,,,,,3.5555,-8.4408,8.8137
211,,,,,,3.5638,-8.4605,6.7334
212,,,,,,3.556,-8.3996,4.7611
213,,,,,,3.5472,-8.3782,2.5986
214,,,,,,3.5312,-8.3412,0.1918
215,,,,,,3.4755,-8.5649,0.176
216,,,,,,3.4779,-8.5707,2.6032
217,,,,,,3.4824,-8.5822,4.8078
218,,,,,,3.4758,-8.5658,7.2055
219,,,,,,3.476,-8.5664,8.8521
220,,,,,,3.0253,-8.5782,8.7952
221,,,,,,3.0236,-8.574,6.7817
222,,,,,,3.024,-8.5751,4.5216
223,,,,,,3.0214,-8.5686,2.3847
224,,,,,,3.0532,-8.5639,0.3841
225,,,,,,1.5617,-8.6007,0.154
226,,,,,,1.5606,-8.5941,2.8997
227,,,,,,1.5596,-8.5888,5.526
228,,,,,,1.5587,-8.5834,7.4264
229,,,,,,1.557,-8.5749,8.8242
230,,,,,,1.2037,-8.5786,8.8111
231,,,,,,1.2333,-8.5903,6.5657
232,,,,,,1.3014,-8.5903,3.5685
233,,,,,,1.3021,-8.5943,1.7417
234,,,,,,1.4358,-8.5952,0.1492
235,,,,,,-0.3955,-8.6145,0.193
236,,,,,,-0.3952,-8.6055,2.463
237,,,,,,-0.3948,-8.603,4.5626
238,,,,,,-0.3949,-8.6044,6.6057
239,,,,,,-0.3953,-8.6082,8.6787
240,,,,,,-0.7395,-8.6159,8.6986
241,,,,,,-0.739,-8.6107,6.577
242,,,,,,-0.7389,-8.6077,4.5745
243,,,,,,-0.7394,-8.6124,1.9319
244,,,,,,-0.7399,-8.6164,0.1301
245,,,,,,-2.2594,-8.6379,0.1239
246,,,,,,-2.3256,-8.6369,2.209
247,,,,,,-2.1678,-8.6324,4.257
248,,,,,,-2.1677,-8.6315,6.0772
249,,,,,,-2.2103,-8.6169,7.2533
250,,,,,,-2.6439,-8.614,7.4644
251,,,,,,-2.6502,-8.6341,5.2694
252,,,,,,-2.6516,-8.6383,3.573
253,,,,,,-2.6531,-8.6436,1.702
254,,,,,,-2.7477,-8.6488,0.3798
255,,,,,,2.5035,-7.8646,0.5614
256,,,,,,2.505,-7.8688,2.2241
257,,,,,,2.5065,-7.8736,4.5791
258,,,,,,2.508,-7.8772,6.5553
