   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
82              ,    1 11 35 ,   89 30 47,      7.862,      0.000,      0.000,        0.164,        7.860,      0.067
83              ,    1 23 19 ,   82 36 55,      7.926,      0.000,      0.000,        0.191,        7.858,      1.019
84              ,    1 23 22 ,   73 53 55,      8.180,      0.000,      0.000,        0.191,        7.857,      2.269
85              ,    1 28 17 ,   67 11 29,      8.528,      0.000,      0.000,        0.202,        7.858,      3.306
86              ,    1 28 14 ,   60 10 01,      9.056,      0.000,      0.000,        0.202,        7.853,      4.505
87              ,    1 28 15 ,   54 52 12,      9.611,      0.000,      0.000,        0.202,        7.858,      5.530
88              ,    1 42 04 ,   49 10 52,     10.389,      0.000,      0.000,        0.233,        7.859,      6.791
89              ,    1 42 07 ,   46 48 45,     10.784,      0.000,      0.000,        0.234,        7.860,      7.381
90              ,    4 56 49 ,   46 48 44,     10.813,      0.000,      0.000,        0.680,        7.854,      7.400
91              ,    4 56 46 ,   53 44 01,      9.780,      0.000,      0.000,        0.680,        7.856,      5.785
92              ,    5 06 44 ,   61 59 39,      8.934,      0.000,      0.000,        0.703,        7.856,      4.195
93              ,    5 06 46 ,   70 53 33,      8.349,      0.000,      0.000,        0.703,        7.857,      2.733
94              ,    5 06 49 ,   81 59 51,      7.966,      0.000,      0.000,        0.703,        7.857,      1.109
95              ,    4 50 43 ,   89 33 54,      7.886,      0.000,      0.000,        0.666,        7.858,      0.060
96              ,   14 54 06 ,   83 39 13,      8.176,      0.000,      0.000,        2.090,        7.853,      0.904
97              ,   14 54 07 ,   76 46 37,      8.349,      0.000,      0.000,        2.090,        7.855,      1.910
98              ,   14 54 07 ,   67 42 46,      8.787,      0.000,      0.000,        2.091,        7.858,      3.333
99              ,   14 54 05 ,   60 11 10,      9.371,      0.000,      0.000,        2.091,        7.858,      4.659
100             ,   14 54 08 ,   54 18 44,     10.012,      0.000,      0.000,        2.091,        7.858,      5.841
101             ,   18 12 45 ,   47 50 40,     11.148,      0.000,      0.000,        2.583,        7.850,      7.482
102             ,   18 12 45 ,   53 57 29,     10.224,      0.000,      0.000,        2.584,        7.853,      6.016
103             ,   18 12 44 ,   60 34 21,      9.492,      0.000,      0.000,        2.584,        7.853,      4.664
104             ,   18 12 45 ,   70 11 26,      8.788,      0.000,      0.000,        2.584,        7.853,      2.978
